"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2020","ALABAMA STATE UNIVERSITY","1","0","0","0","61","","AL","MONTGOMERY","36101"
"2020","INFORMATIVE RESEARCH","1","0","0","0","56","","CA","GARDEN GROVE","92843"
"2020","BETRIA INTERACTIVE LLC","0","1","0","0","54","","CA","LAKE FOREST","92630"
"2020","TISHMAN CONSTRUCTION CORP","0","0","0","1","54","","CA","LOS ANGELES","90067"
"2020","NATIONAL AUTO PARTS OAKLAND LLC","0","1","0","0","44","","CA","OAKLAND","94621"
"2020","SUTTER BAY HOSPITALS DBA SUTTER LA","0","0","1","0","62","","CA","ROSEVILLE","95747"
"2020","IRONCLAD INC","0","0","1","0","54","","CA","SAN FRANCISCO","94107"
"2020","RISFORN EXEC SEARCH SAN FRANCISCO","0","0","1","0","54","","CA","SAN JOSE","95113"
"2020","7 MAGIC FLOWERS","1","0","0","0","62","","CA","SAN JOSE","95124"
"2020","CREO DESIGN LLC","1","0","0","0","54","","CA","SAUSALITO","94965"
"2020","ABLE HOME HEALTH CARE LLC","0","0","1","0","62","","CT","WESTPORT","06880"
"2020","DIST OF COLUMBIA PUBLIC SCHOOLS","0","0","1","0","61","","DC","WASHINGTON","20002"
"2020","INSPECTION DEPOT INC","0","0","1","0","52","","FL","JACKSONVILLE","32246"
"2020","AMERIPARK LLC INDIRECTLY OWNED BY","0","0","1","0","81","","FL","MIAMI","33131"
"2020","ART FASHION CORP DBA ROBERTO CAVAL","0","1","0","0","44","","FL","MIAMI","33178"
"2020","TOSOLINI & LAMURA LLP","0","1","0","0","54","","FL","MIAMI BEACH","33139"
"2020","MARINE TEKNIK INC","0","0","1","0","23","","FL","POMPANO BEACH","33069"
"2020","MSID US INC","0","1","0","0","54","","IL","CHICAGO","60602"
"2020","OPEN DATA GROUP INC","2","0","0","0","54","","IL","CHICAGO","60606"
"2020","ARTIBIO TECHNOLOGY INC","0","1","0","0","54","","IL","CHICAGO","60611"
"2020","METHODE ELECTRONICS INC","0","0","1","0","33","","IL","CHICAGO","60631"
"2020","GEO SERVICES INC","0","0","0","1","54","","IL","NAPERVILLE","60565"
"2020","FOUNTAIN SQUARE WESTEND DENTAL LLC","0","0","1","0","33","","IN","INDIANAPOLIS","46203"
"2020","LOUISVILLE WATER COMPANY","0","0","1","0","22","","KY","LOUISVILLE","40202"
"2020","LOOMIS SAYLES AND COMPANY LP","1","0","1","0","52","","MA","BOSTON","02111"
"2020","FORRESTER RESEARCH INC","1","0","3","0","99","","MA","CAMBRIDGE","02140"
"2020","MICRACLE SOFTWARE SYSTEMS INC","0","0","1","0","54","","MI","NOVI","48374"
"2020","UR TECHNOLOGIES INC","0","1","0","0","54","","MN","SAINT PAUL","55129"
"2020","WILLIAM CAREY UNIV","1","0","0","0","61","","MS","HATTIESBURG","39401"
"2020","RECKITT BENCKISER LLC","0","0","1","0","32","","NJ","PARSIPPANY","07054"
"2020","TAL STUDIO","0","1","0","0","54","","NV","LAS VEGAS","89135"
"2020","CENTER FOR ART LAW INC","1","0","0","0","55","","NY","BROOKLYN","11201"
"2020","CORNELL UNI GLOBAL LEARNING","0","0","1","0","61","","NY","ITHACA","14853"
"2020","LUXOFT USA INC","0","0","1","0","99","","NY","NEW YORK","10020"
"2020","GUINNESS WORLD RECORDS NA INC","0","1","0","0","51","","NY","NEW YORK","10036"
